"DISTRITO","MUNICIPIO","MICROREGIAO","MESOREGIAO","UF","CATEGORIA","LOCALIDADE","LON","LAT","ALT","TIPO"
SANTA QUITÉRIA DO MARANHÃO,SANTA QUITÉRIA DO MARANHÃO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,MATA DOS FERNANDES,-42.6532520651701,-3.48584435376224,"65.111008",RURAL
SANTA QUITÉRIA DO MARANHÃO,SANTA QUITÉRIA DO MARANHÃO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,LUGAREJO,COCEIRA,-42.9390243150077,-3.38905483170226,"78.741604",RURAL
SANTA QUITÉRIA DO MARANHÃO,SANTA QUITÉRIA DO MARANHÃO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,BARRA DA ONÇA,-42.7216999678249,-3.36892568971295,"53.803973",RURAL
SANTA RITA,SANTA RITA,ROSÁRIO,NORTE MARANHENSE,MARANHÃO,CIDADE,SANTA RITA,-44.3199480818757,-3.13411676567102,"21.931791",URBANO
SANTA RITA,SANTA RITA,ROSÁRIO,NORTE MARANHENSE,MARANHÃO,POVOADO,AREIAS,-44.2883134431309,-3.16462977307889,"29.279548",RURAL
SANTA RITA,SANTA RITA,ROSÁRIO,NORTE MARANHENSE,MARANHÃO,POVOADO,SANTIAGO,-44.2260752226684,-3.20756243044193,"30.495564",RURAL
SANTA RITA,SANTA RITA,ROSÁRIO,NORTE MARANHENSE,MARANHÃO,POVOADO,PEDREIRAS,-44.347615420077,-3.18883144623696,"27.969427",RURAL
SANTA RITA,SANTA RITA,ROSÁRIO,NORTE MARANHENSE,MARANHÃO,PROJETO DE ASSENTAME,AGROVILA DO PA SÍTIO DO MEIO,-44.2179001568656,-3.17344795799747,"29.143604",RURAL
SANTA RITA,SANTA RITA,ROSÁRIO,NORTE MARANHENSE,MARANHÃO,PROJETO DE ASSENTAME,AGROVILA DO PA NOVO TEMPO,-44.2299790934402,-3.21852768641396,"30.258573",RURAL
SANTANA DO MARANHÃO,SANTANA DO MARANHÃO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,CIDADE,SANTANA DO MARANHÃO,-42.4007677571893,-3.11306834278169,"33.152745",URBANO
SANTANA DO MARANHÃO,SANTANA DO MARANHÃO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,LUGAREJO,RIACHÃO,-42.4981188012373,-3.13926214870993,"37.172969",RURAL
SANTANA DO MARANHÃO,SANTANA DO MARANHÃO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,SÃO JOÃO DOS TEIXEIRAS,-42.5610990337462,-3.17956668584784,"53.792035",RURAL
SANTANA DO MARANHÃO,SANTANA DO MARANHÃO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,COQUEIRO DO MAGU,-42.5300176639392,-3.13360785960369,"49.956943",RURAL
SANTANA DO MARANHÃO,SANTANA DO MARANHÃO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,BURITI SECO,-42.787103409328,-3.26552551905095,"68.098862",RURAL
SANTANA DO MARANHÃO,SANTANA DO MARANHÃO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,LUGAREJO,SANTANA VELHA,-42.4476202293292,-3.12220418964667,"40.607605",RURAL
SANTO AMARO DO MARANHÃO,SANTO AMARO DO MARANHÃO,LENÇÓIS MARANHENSES,NORTE MARANHENSE,MARANHÃO,CIDADE,SANTO AMARO DO MARANHÃO,-43.2552849422448,-2.5027211989687,"7.293169",URBANO
SANTO AMARO DO MARANHÃO,SANTO AMARO DO MARANHÃO,LENÇÓIS MARANHENSES,NORTE MARANHENSE,MARANHÃO,POVOADO,TRAVOSA,-43.2790388168367,-2.37943747163911,"8.256147",RURAL
SANTO AMARO DO MARANHÃO,SANTO AMARO DO MARANHÃO,LENÇÓIS MARANHENSES,NORTE MARANHENSE,MARANHÃO,POVOADO,BOA VISTA,-43.3077712510071,-2.47869393677299,"5.390021",RURAL
SANTO AMARO DO MARANHÃO,SANTO AMARO DO MARANHÃO,LENÇÓIS MARANHENSES,NORTE MARANHENSE,MARANHÃO,POVOADO,COCAL,-43.1740049956825,-2.95104272374685,"48.712167",RURAL
SANTO AMARO DO MARANHÃO,SANTO AMARO DO MARANHÃO,LENÇÓIS MARANHENSES,NORTE MARANHENSE,MARANHÃO,POVOADO,BURITI GROSSO,-43.0594944027483,-2.65119789933264,"34.689885",RURAL
SANTO AMARO DO MARANHÃO,SANTO AMARO DO MARANHÃO,LENÇÓIS MARANHENSES,NORTE MARANHENSE,MARANHÃO,POVOADO,BURITIZAL,-43.1385934783403,-2.65774345832036,"33.543821",RURAL
SANTO ANTÔNIO DOS LOPES,SANTO ANTÔNIO DOS LOPES,MÉDIO MEARIM,CENTRO MARANHENSE,MARANHÃO,CIDADE,SANTO ANTÔNIO DOS LOPES,-44.3614474338019,-4.87381957559703,"122.116357",URBANO
SANTO ANTÔNIO DOS LOPES,SANTO ANTÔNIO DOS LOPES,MÉDIO MEARIM,CENTRO MARANHENSE,MARANHÃO,POVOADO,LAGOA NOVA,-44.4097710480376,-4.93161271620514,"135.893952",RURAL
SANTO ANTÔNIO DOS LOPES,SANTO ANTÔNIO DOS LOPES,MÉDIO MEARIM,CENTRO MARANHENSE,MARANHÃO,POVOADO,MURIÇOCA,-44.4393754676869,-4.9601598767734,"149.347846",RURAL
SANTO ANTÔNIO DOS LOPES,SANTO ANTÔNIO DOS LOPES,MÉDIO MEARIM,CENTRO MARANHENSE,MARANHÃO,POVOADO,PACAS,-44.6181887343109,-4.81467091084769,"67.576057",RURAL
SANTO ANTÔNIO DOS LOPES,SANTO ANTÔNIO DOS LOPES,MÉDIO MEARIM,CENTRO MARANHENSE,MARANHÃO,POVOADO,SERRA DO CAPIM,-44.6024750084117,-4.90121874137041,"62.442514",RURAL
SANTO ANTÔNIO DOS LOPES,SANTO ANTÔNIO DOS LOPES,MÉDIO MEARIM,CENTRO MARANHENSE,MARANHÃO,POVOADO,AGROVILA,-44.6173212911256,-4.88602772176144,"63.170217",RURAL
SANTO ANTÔNIO DOS LOPES,SANTO ANTÔNIO DOS LOPES,MÉDIO MEARIM,CENTRO MARANHENSE,MARANHÃO,POVOADO,CENTRO DOS RODRIGUES,-44.5848499677374,-4.89683123316607,"54.321976",RURAL
SANTO ANTÔNIO DOS LOPES,SANTO ANTÔNIO DOS LOPES,MÉDIO MEARIM,CENTRO MARANHENSE,MARANHÃO,POVOADO,PAU D'ARCO,-44.5670640556267,-4.74615333021965,"54.390723",RURAL
SANTO ANTÔNIO DOS LOPES,SANTO ANTÔNIO DOS LOPES,MÉDIO MEARIM,CENTRO MARANHENSE,MARANHÃO,POVOADO,LIVRAMENTO,-44.4634165367991,-4.87989089847546,"85.013059",RURAL
SÃO BENEDITO DO RIO PRETO,SÃO BENEDITO DO RIO PRETO,CHAPADINHA,LESTE MARANHENSE,MARANHÃO,CIDADE,SÃO BENEDITO DO RIO PRETO,-43.5299918701629,-3.33276600373026,"34.680098",URBANO
SÃO BENEDITO DO RIO PRETO,SÃO BENEDITO DO RIO PRETO,CHAPADINHA,LESTE MARANHENSE,MARANHÃO,POVOADO,SÃO JOSÉ DOS COSTA,-43.5772837376628,-3.47754701726196,"83.365532",RURAL
SÃO BENTO,SÃO BENTO,BAIXADA MARANHENSE,NORTE MARANHENSE,MARANHÃO,CIDADE,SÃO BENTO,-44.8283451799242,-2.6970075,"8.229092",URBANO
SÃO BENTO,SÃO BENTO,BAIXADA MARANHENSE,NORTE MARANHENSE,MARANHÃO,POVOADO,SOROROCA,-45.2040125051015,-2.86135496238667,"26.489093",RURAL
SÃO BENTO,SÃO BENTO,BAIXADA MARANHENSE,NORTE MARANHENSE,MARANHÃO,POVOADO,SÃO ROQUE,-44.8827666309341,-2.70552868374276,"15.389538",RURAL
SÃO BENTO,SÃO BENTO,BAIXADA MARANHENSE,NORTE MARANHENSE,MARANHÃO,POVOADO,BELAS ÁGUAS,-44.9708477132367,-2.81783230170362,"37.286837",RURAL
SÃO BENTO,SÃO BENTO,BAIXADA MARANHENSE,NORTE MARANHENSE,MARANHÃO,POVOADO,OITEIRO DE MARIA JUSTINA,-45.0311041274872,-2.8613262191895,"34.925679",RURAL
SÃO BENTO,SÃO BENTO,BAIXADA MARANHENSE,NORTE MARANHENSE,MARANHÃO,POVOADO,SÃO JERÔNIMO,-45.0773895233036,-2.86244043710825,"44.387394",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,CIDADE,SÃO BERNARDO,-42.4230096609141,-3.36543651011074,"41.716878",URBANO
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,BICUÍBA,-42.3317241901725,-3.28516518513303,"22.986182",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,COQUEIRO,-42.3216070900042,-3.27729487843499,"26.348785",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,PEDRINHAS,-42.3083217587457,-3.29221812680058,"19.675903",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,NOVA ESPERANÇA,-42.5026115912544,-3.41257244610852,"95",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,CAJUEIRO,-42.4392657896107,-3.32502398823438,"79.472563",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,PORTO FORMOSO,-42.3711974607187,-3.4499057317068,"19.163366",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,CURRAIS,-42.5042808144363,-3.38539818807815,"38.343231",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,ENXU,-42.5843363431715,-3.32225959335197,"75.743067",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,BAIXA GRANDE DOS MESSIAS,-42.5095215366838,-3.28179593161966,"72.925074",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,SÃO RAIMUNDO,-42.3952367607395,-3.30774587859577,"42.748612",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,SANTO ANTÔNIO,-42.3764990234116,-3.31771971738811,"24.527744",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,MAMORANA,-42.2858829956921,-3.17131258602399,"50.411137",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,MOMBAÇA,-42.3617567898866,-3.2962534939262,"25.375684",RURAL
SÃO BERNARDO,SÃO BERNARDO,BAIXO PARNAÍBA MARANHENSE,LESTE MARANHENSE,MARANHÃO,POVOADO,FORMOSA,-42.3931342175579,-3.43874271682979,"18.149503",RURAL
SÃO DOMINGOS DO AZEITÃO,SÃO DOMINGOS DO AZEITÃO,CHAPADAS DAS MANGABEIRAS,SUL MARANHENSE,MARANHÃO,CIDADE,SÃO DOMINGOS DO AZEITÃO,-44.6504239102536,-6.80442500975138,"308.194629",URBANO
SÃO DOMINGOS DO AZEITÃO,SÃO DOMINGOS DO AZEITÃO,CHAPADAS DAS MANGABEIRAS,SUL MARANHENSE,MARANHÃO,POVOADO,SANTA TERESA,-44.7662272856438,-6.82359442066639,"322.733761",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,CIDADE,SÃO DOMINGOS DO MARANHÃO,-44.3928792568666,-5.5656420001824,"183.585151",URBANO
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,CUNDURU,-44.3322607064335,-5.46976987757029,"194.730397",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,PATOS,-44.2382963082659,-5.54727918005613,"162.285159",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,VIOLA,-44.2087694496627,-5.56543105139273,"190.988995",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,CONSOLAÇÃO,-44.3454178563378,-5.5864238793981,"180.228303",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,PAÚ,-44.3245862639781,-5.64550141291851,"205.208354",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,BAIXÃO GRANDE,-44.3482118109101,-5.7007276915987,"204.834614",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,MARIA DA EVA,-44.4293050778792,-5.6986268650496,"229.773671",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,BAIXÃO DA LAGOA,-44.3861337815812,-5.75072370273593,"218.619345",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,PENTEADO,-44.3843587954655,-5.76513469938052,"220.212527",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,LAGOA NOVA,-44.4248631411395,-5.49967334410711,"214.302265",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,SABONETE,-44.4631517111386,-5.735068860035,"303.916816",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,BACUPARI,-44.5110343654586,-5.76981649763311,"312.285722",RURAL
SÃO DOMINGOS DO MARANHÃO,SÃO DOMINGOS DO MARANHÃO,PRESIDENTE DUTRA,CENTRO MARANHENSE,MARANHÃO,POVOADO,SÃO JOÃO DA MATA,-44.1485347572743,-5.52104707370564,"168.649297",RURAL
BARRAS,BARRAS,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,CIDADE,BARRAS,-42.2953398573464,-4.24309335434368,"87.438924",URBANO
BARRAS,BARRAS,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,PROJETO DE ASSENTAME,AGROVILA DO PA PALMEIRA II,-42.0076730133185,-4.240325,"149.847827",RURAL
BARRAS,BARRAS,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,PROJETO DE ASSENTAME,AGROVILA DO PA LIMOEIRO,-42.3353165994294,-4.27418121918815,"88.612737",RURAL
BARRAS,BARRAS,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,PROJETO DE ASSENTAME,AGROVILA DO PA CARA TORTA,-42.4883318707912,-4.11443733046931,"111.701521",RURAL
BARRAS,BARRAS,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,PROJETO DE ASSENTAME,AGROVILA DO PA ESPERANÇA,-42.6015238059998,-4.15808852581211,"87.537124",RURAL
BARRAS,BARRAS,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,PROJETO DE ASSENTAME,AGROVILA DO PA ANGELIM,-42.5611993580401,-4.173455,"93.586363",RURAL
BARRAS,BARRAS,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,PROJETO DE ASSENTAME,AGROVILA DO PA CENTRO E TIPIS (SÃO FRANCISCO),-42.5197779505062,-4.11826292936033,"117.44826",RURAL
BARRAS,BARRAS,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,PROJETO DE ASSENTAME,AGROVILA DO PA PARAÍSO,-42.4382554404918,-4.02004926221223,"115.705434",RURAL
BARREIRAS DO PIAUÍ,BARREIRAS DO PIAUÍ,ALTO MÉDIO GURGUÉIA,SUDOESTE PIAUIENSE,PIAUÍ,CIDADE,BARREIRAS DO PIAUÍ,-45.4777877054503,-9.92124682674306,"404.970802",URBANO
BARRO DURO,BARRO DURO,MÉDIO PARNAÍBA PIAUIENSE,CENTRO-NORTE PIAUIENSE,PIAUÍ,CIDADE,BARRO DURO,-42.5133778221163,-5.81235970781592,"198.82363",URBANO
BARRO DURO,BARRO DURO,MÉDIO PARNAÍBA PIAUIENSE,CENTRO-NORTE PIAUIENSE,PIAUÍ,LUGAREJO,MALHADA DOS BOIS,-42.4598566855226,-5.84634363844788,"148.166504",RURAL
BATALHA,BATALHA,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,CIDADE,BATALHA,-42.075218732031,-4.0204123357539,"129.991938",URBANO
BATALHA,BATALHA,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,PROJETO DE ASSENTAME,AGROVILA DO PA FRECHEIRA,-42.066136489888,-4.07064618970888,"175.035849",RURAL
BATALHA,BATALHA,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,POVOADO,CARAÍBAS,-41.9702489189253,-4.08519767343796,"74.997079",RURAL
BATALHA,BATALHA,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,POVOADO,CORTADO,-42.0020716710518,-4.18353,"146.372536",RURAL
BATALHA,BATALHA,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,POVOADO,EMBIRIBAS,-41.9518885315022,-4.18948670543324,"139.302835",RURAL
BATALHA,BATALHA,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,POVOADO,CURRAIS,-41.9293341169434,-4.11276268311027,"91.758223",RURAL
BATALHA,BATALHA,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,POVOADO,CEDRO,-41.9324352322436,-4.1362193080789,"95.03585",RURAL
BELA VISTA DO PIAUÍ,BELA VISTA DO PIAUÍ,ALTO MÉDIO CANINDÉ,SUDESTE PIAUIENSE,PIAUÍ,CIDADE,BELA VISTA DO PIAUÍ,-41.8713796439709,-7.97218531957187,"326.084578",URBANO
BELÉM DO PIAUÍ,BELÉM DO PIAUÍ,ALTO MÉDIO CANINDÉ,SUDESTE PIAUIENSE,PIAUÍ,CIDADE,BELÉM DO PIAUÍ,-40.9703021906942,-7.37013961551867,"342.967138",URBANO
BENEDITINOS,BENEDITINOS,TERESINA,CENTRO-NORTE PIAUIENSE,PIAUÍ,CIDADE,BENEDITINOS,-42.3706167024747,-5.44760286024037,"124.087194",URBANO
BERTOLÍNIA,BERTOLÍNIA,BERTOLÍNIA,SUDOESTE PIAUIENSE,PIAUÍ,CIDADE,BERTOLÍNIA,-43.9543877391026,-7.62862476310433,"290.856122",URBANO
BETÂNIA DO PIAUÍ,BETÂNIA DO PIAUÍ,ALTO MÉDIO CANINDÉ,SUDESTE PIAUIENSE,PIAUÍ,CIDADE,BETÂNIA DO PIAUÍ,-40.7966219288235,-8.14566557729576,"479.882811",URBANO
BOA HORA,BOA HORA,BAIXO PARNAÍBA PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,CIDADE,BOA HORA,-42.1252957358755,-4.40900960580236,"124.476374",URBANO
BOCAINA,BOCAINA,PICOS,SUDESTE PIAUIENSE,PIAUÍ,CIDADE,BOCAINA,-41.3223406826513,-6.95484233259558,"249.881029",URBANO
BOCAINA,BOCAINA,PICOS,SUDESTE PIAUIENSE,PIAUÍ,POVOADO,NOVA VARJOTA,-41.3383459298701,-6.8756120290146,"287.523938",RURAL
BOCAINA,BOCAINA,PICOS,SUDESTE PIAUIENSE,PIAUÍ,POVOADO,LAGOA DO CAJUEIRO,-41.2279190808278,-6.84091064582917,"431.165478",RURAL
BOCAINA,BOCAINA,PICOS,SUDESTE PIAUIENSE,PIAUÍ,PROJETO DE ASSENTAME,AGROVILA DO PA LAGOA DO CAJUEIRO,-41.2419694412038,-6.86913396599776,"398.38838",RURAL
BOM JESUS,BOM JESUS,ALTO MÉDIO GURGUÉIA,SUDOESTE PIAUIENSE,PIAUÍ,CIDADE,BOM JESUS,-44.3605250848238,-9.07094898367372,"299.871529",URBANO
BOM JESUS,BOM JESUS,ALTO MÉDIO GURGUÉIA,SUDOESTE PIAUIENSE,PIAUÍ,POVOADO,PIRIPIRI,-44.4023029938547,-9.17182140580284,"267.47308",RURAL
BOM JESUS,BOM JESUS,ALTO MÉDIO GURGUÉIA,SUDOESTE PIAUIENSE,PIAUÍ,POVOADO,EUGENÓPOLIS,-44.442119011859,-9.21473619104,"272.745873",RURAL
BOM JESUS,BOM JESUS,ALTO MÉDIO GURGUÉIA,SUDOESTE PIAUIENSE,PIAUÍ,POVOADO,BARRA VERDE,-44.4571933106207,-9.2335970551202,"284.133728",RURAL
BOM JESUS,BOM JESUS,ALTO MÉDIO GURGUÉIA,SUDOESTE PIAUIENSE,PIAUÍ,POVOADO,MARCOS JÚLIO,-44.3221457249611,-8.9838222305209,"279.063012",RURAL
BOM JESUS,BOM JESUS,ALTO MÉDIO GURGUÉIA,SUDOESTE PIAUIENSE,PIAUÍ,PROJETO DE ASSENTAME,AGROVILA DO PA CONCEIÇÃO,-44.4363301751373,-9.24413779604368,"287.436363",RURAL
BOM PRINCÍPIO DO PIAUÍ,BOM PRINCÍPIO DO PIAUÍ,LITORAL PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,CIDADE,BOM PRINCÍPIO DO PIAUÍ,-41.6452095701255,-3.18985868760539,"68.665038",URBANO
BOM PRINCÍPIO DO PIAUÍ,BOM PRINCÍPIO DO PIAUÍ,LITORAL PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,POVOADO,BOA VISTA II,-41.6215903929075,-3.29202607317703,"95.516273",RURAL
BOM PRINCÍPIO DO PIAUÍ,BOM PRINCÍPIO DO PIAUÍ,LITORAL PIAUIENSE,NORTE PIAUIENSE,PIAUÍ,POVOADO,CÓRREGO,-41.6366541966098,-3.25633815917862,"84.991189",RURAL
